rh.aparc.curvind	rh_bankssts_curvind	rh_caudalanteriorcingulate_curvind	rh_caudalmiddlefrontal_curvind	rh_cuneus_curvind	rh_entorhinal_curvind	rh_fusiform_curvind	rh_inferiorparietal_curvind	rh_inferiortemporal_curvind	rh_isthmuscingulate_curvind	rh_lateraloccipital_curvind	rh_lateralorbitofrontal_curvind	rh_lingual_curvind	rh_medialorbitofrontal_curvind	rh_middletemporal_curvind	rh_parahippocampal_curvind	rh_paracentral_curvind	rh_parsopercularis_curvind	rh_parsorbitalis_curvind	rh_parstriangularis_curvind	rh_pericalcarine_curvind	rh_postcentral_curvind	rh_posteriorcingulate_curvind	rh_precentral_curvind	rh_precuneus_curvind	rh_rostralanteriorcingulate_curvind	rh_rostralmiddlefrontal_curvind	rh_superiorfrontal_curvind	rh_superiorparietal_curvind	rh_superiortemporal_curvind	rh_supramarginal_curvind	rh_frontalpole_curvind	rh_temporalpole_curvind	rh_transversetemporal_curvind	rh_insula_curvind	BrainSegVolNotVent	eTIV
100_S_1113.nii	1.2	1.6	5.7	3.4	1.7	5.7	8.1	6.0	1.6	11.9	4.4	5.3	4.4	4.8	0.7	3.3	1.8	2.1	2.9	2.7	6.8	2.0	8.0	6.8	1.1	15.2	20.2	8.2	5.2	4.8	0.9	2.2	0.7	5.8	949457.0	1522546.73452
062_S_0535.nii	0.9	2.0	3.7	4.1	0.6	4.6	9.5	5.9	1.7	10.3	5.6	7.4	3.7	5.3	0.8	4.7	1.9	2.1	2.6	3.3	7.3	1.9	8.8	7.9	0.9	12.6	14.9	9.0	4.6	6.6	0.9	1.0	0.3	5.1	1076431.0	1680396.1137
130_S_1200.nii	0.6	1.1	3.9	3.0	0.8	7.7	7.7	10.0	1.3	9.5	9.0	6.0	5.2	6.3	0.6	2.4	3.0	2.4	4.5	1.7	7.1	1.8	10.9	8.1	1.2	13.7	15.3	7.6	4.9	7.0	1.5	2.2	0.4	6.9	1126177.0	1703613.89796
128_S_1406.nii	1.0	1.3	4.9	3.0	0.6	5.1	6.7	6.5	1.3	11.8	5.7	6.5	4.0	4.9	0.7	3.4	2.2	1.4	1.7	3.4	4.7	2.6	8.8	6.1	0.9	13.4	15.3	9.5	4.8	5.2	0.8	0.8	0.6	3.9	1062098.0	1497890.00554
123_S_0106.nii	1.3	2.2	3.7	4.3	1.0	6.2	10.0	8.3	2.2	12.8	6.8	7.9	3.9	6.4	0.5	3.3	1.9	2.5	2.7	5.2	6.1	3.5	8.9	8.9	1.3	15.8	17.0	12.3	6.3	6.0	1.1	0.8	0.7	6.1	1202541.0	1812790.39981
133_S_1055.nii	0.6	1.6	4.6	2.9	1.0	6.4	8.4	6.6	2.1	10.2	9.1	5.0	4.6	4.4	0.5	2.8	1.4	1.8	3.3	2.2	6.0	1.8	7.1	5.2	1.9	19.0	13.8	7.5	5.2	5.7	0.7	3.2	0.3	8.1	945199.0	1537163.53422
073_S_0565.nii	1.0	0.9	4.2	3.7	1.8	5.5	11.8	5.8	1.1	8.6	4.6	6.9	3.6	5.4	0.8	2.9	5.3	1.5	2.8	3.2	7.1	2.1	12.0	7.0	0.7	13.7	15.8	9.4	5.7	9.3	1.2	1.3	0.7	5.5	982384.0	1583684.32255
099_S_0111.nii	0.9	1.3	3.1	3.3	0.3	6.0	7.7	5.9	1.7	8.6	4.7	7.2	3.0	5.2	0.6	2.4	2.0	1.0	1.7	3.7	6.7	2.6	9.2	6.2	1.2	9.4	11.4	6.4	4.2	6.2	1.4	1.3	0.5	3.0	1003387.0	1603178.67102
007_S_0101.nii	1.0	0.9	4.3	4.1	0.8	6.1	9.9	5.6	2.0	11.4	6.7	7.7	3.9	7.0	0.4	3.2	1.6	1.2	2.9	4.2	7.2	2.0	8.5	8.4	1.6	13.6	14.3	8.6	4.4	7.2	1.4	0.8	0.4	6.6	1106608.0	1685059.34004
128_S_1407.nii	0.9	0.9	3.0	3.1	0.8	3.7	7.9	4.9	1.3	8.3	5.2	6.7	2.4	4.5	0.5	2.2	1.3	1.2	1.6	2.7	5.5	1.4	11.2	5.0	1.1	10.7	12.1	8.3	5.5	4.3	0.8	1.8	0.3	4.5	996488.0	1489464.99748
100_S_0047.nii	0.8	1.0	3.2	3.7	0.4	4.5	8.8	6.6	1.8	11.0	5.4	5.4	4.2	6.0	0.4	2.3	1.5	2.1	1.9	3.0	6.4	1.6	7.6	6.3	0.8	11.9	11.6	7.6	4.7	6.9	1.2	0.8	0.4	6.6	1087113.0	1686603.14289
041_S_1412.nii	1.4	0.9	4.1	3.6	0.7	6.2	9.6	8.6	1.6	11.9	5.8	7.4	3.1	6.7	1.0	2.9	2.3	1.6	2.8	2.7	6.6	1.3	9.2	6.5	1.3	15.7	13.0	10.1	7.1	7.4	1.0	1.0	0.6	7.3	1397606.0	2148389.62799
016_S_0769.nii	1.3	0.5	3.3	4.4	0.5	6.2	8.0	5.8	2.0	11.9	5.5	8.7	3.6	6.0	0.5	2.8	2.2	2.3	2.2	4.3	6.4	2.1	8.4	8.3	1.0	13.8	13.2	9.0	6.1	5.5	1.0	0.7	0.4	3.6	1266309.0	1979891.96139
100_S_1286.nii	0.8	0.5	2.8	2.9	0.7	4.1	7.5	5.5	1.8	8.6	4.6	7.2	3.9	4.0	0.4	2.9	2.2	1.5	3.1	2.2	5.0	2.2	7.4	6.4	0.3	8.4	13.1	6.3	4.2	5.8	0.7	0.7	0.6	4.1	1122952.0	1738660.84575
067_S_0336.nii	1.1	1.2	2.8	4.2	1.1	5.8	10.4	7.4	2.0	13.9	6.6	7.7	4.2	6.9	0.6	1.6	1.6	1.8	2.3	3.9	6.7	2.2	7.8	7.4	1.4	14.0	10.2	9.4	5.7	6.4	1.2	1.1	0.5	6.5	1025634.0	1531113.94217
029_S_0836.nii	0.8	0.9	3.0	2.7	0.7	4.4	6.8	7.2	1.5	9.7	6.2	5.9	3.2	4.3	0.5	2.2	2.0	1.3	2.8	2.5	5.9	3.6	7.9	7.5	1.2	11.2	11.3	7.5	5.5	5.8	0.8	0.9	0.4	5.0	1120213.0	1712622.0234
057_S_0464.nii	1.3	1.5	4.1	3.7	0.7	6.3	10.1	7.8	2.4	9.8	7.6	8.0	6.0	8.0	0.5	3.0	2.4	2.9	4.6	2.4	6.8	2.4	7.7	8.5	1.9	17.4	16.0	9.0	7.8	5.5	2.1	1.1	0.6	7.1	1008460.0	1652730.91947
067_S_0076.nii	0.7	1.2	4.2	4.7	0.9	5.6	7.2	6.1	2.7	10.6	6.1	9.4	4.2	6.3	0.7	2.2	3.6	2.5	4.0	5.6	6.8	1.8	8.0	6.6	1.1	12.8	14.0	9.3	5.4	6.2	0.7	1.1	0.5	3.4	1009289.0	1546777.05527
