rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
128_S_0225.nii	6.0	15.0	25.0	55.0	5.0	49.0	80.0	49.0	18.0	85.0	42.0	57.0	48.0	47.0	9.0	15.0	22.0	10.0	20.0	23.0	42.0	24.0	64.0	57.0	6.0	97.0	107.0	86.0	41.0	48.0	11.0	7.0	5.0	28.0	869726.0	1330439.61661
021_S_0273.nii	13.0	24.0	31.0	42.0	6.0	60.0	124.0	64.0	26.0	133.0	60.0	73.0	63.0	90.0	8.0	16.0	22.0	32.0	25.0	26.0	83.0	34.0	64.0	83.0	19.0	155.0	105.0	108.0	54.0	53.0	16.0	10.0	6.0	48.0	1109633.0	1766893.15121
029_S_1384.nii	9.0	31.0	35.0	43.0	10.0	65.0	97.0	75.0	20.0	138.0	83.0	72.0	54.0	68.0	10.0	23.0	19.0	24.0	29.0	40.0	58.0	43.0	69.0	92.0	17.0	150.0	159.0	107.0	43.0	55.0	9.0	16.0	4.0	47.0	1097353.0	1713025.23457
014_S_0169.nii	6.0	18.0	31.0	36.0	7.0	61.0	95.0	65.0	25.0	115.0	59.0	84.0	58.0	49.0	8.0	19.0	17.0	17.0	25.0	42.0	53.0	26.0	66.0	62.0	21.0	115.0	123.0	76.0	57.0	63.0	11.0	14.0	5.0	48.0	1069012.0	1531117.38507
141_S_1052.nii	9.0	19.0	31.0	33.0	4.0	50.0	105.0	68.0	20.0	91.0	54.0	64.0	53.0	69.0	6.0	21.0	23.0	20.0	27.0	20.0	43.0	17.0	56.0	84.0	16.0	104.0	120.0	88.0	37.0	52.0	10.0	7.0	4.0	39.0	994316.0	1452094.1072
032_S_0978.nii	7.0	15.0	36.0	56.0	7.0	53.0	90.0	69.0	21.0	114.0	62.0	89.0	47.0	62.0	7.0	14.0	15.0	21.0	19.0	33.0	50.0	37.0	66.0	74.0	9.0	141.0	142.0	80.0	40.0	55.0	6.0	11.0	4.0	32.0	1112352.0	1615662.31165
016_S_1263.nii	5.0	14.0	23.0	30.0	9.0	51.0	66.0	48.0	10.0	81.0	45.0	59.0	35.0	54.0	6.0	19.0	17.0	16.0	23.0	27.0	59.0	13.0	54.0	82.0	15.0	98.0	107.0	82.0	47.0	62.0	7.0	10.0	3.0	31.0	952557.0	1410075.70869
014_S_0557.nii	9.0	21.0	23.0	30.0	4.0	58.0	73.0	77.0	15.0	103.0	55.0	69.0	37.0	67.0	8.0	20.0	22.0	20.0	17.0	28.0	58.0	21.0	56.0	66.0	18.0	101.0	122.0	73.0	51.0	64.0	9.0	9.0	3.0	60.0	1084822.0	1586779.17603
053_S_1044.nii	10.0	18.0	31.0	32.0	6.0	60.0	78.0	46.0	21.0	95.0	53.0	67.0	45.0	57.0	8.0	14.0	14.0	16.0	22.0	24.0	44.0	32.0	61.0	58.0	21.0	114.0	117.0	77.0	50.0	54.0	8.0	9.0	5.0	33.0	1073740.0	1639239.10586
027_S_1387.nii	6.0	26.0	22.0	26.0	8.0	50.0	74.0	41.0	18.0	97.0	54.0	59.0	38.0	48.0	8.0	19.0	20.0	21.0	19.0	21.0	43.0	24.0	54.0	48.0	22.0	92.0	86.0	70.0	40.0	45.0	11.0	7.0	6.0	33.0	881445.0	1460072.4659
022_S_1366.nii	8.0	14.0	40.0	42.0	5.0	45.0	71.0	42.0	23.0	110.0	51.0	64.0	46.0	49.0	7.0	23.0	20.0	16.0	32.0	32.0	49.0	26.0	73.0	59.0	10.0	92.0	102.0	78.0	51.0	49.0	8.0	11.0	7.0	22.0	929697.0	1420138.40279
099_S_0492.nii	13.0	13.0	27.0	36.0	5.0	50.0	73.0	60.0	21.0	96.0	52.0	60.0	41.0	51.0	7.0	18.0	22.0	19.0	22.0	36.0	49.0	10.0	60.0	49.0	12.0	123.0	112.0	75.0	37.0	55.0	10.0	9.0	5.0	35.0	976475.0	1466140.57798
141_S_1024.nii	10.0	24.0	44.0	38.0	14.0	49.0	75.0	61.0	19.0	109.0	47.0	63.0	43.0	62.0	8.0	19.0	28.0	15.0	25.0	27.0	47.0	29.0	77.0	93.0	22.0	104.0	146.0	89.0	42.0	67.0	9.0	11.0	3.0	66.0	1141141.0	1767071.98019
012_S_0712.nii	8.0	6.0	18.0	21.0	16.0	52.0	91.0	50.0	15.0	67.0	33.0	34.0	28.0	54.0	4.0	20.0	15.0	15.0	18.0	17.0	51.0	4.0	54.0	43.0	7.0	68.0	90.0	75.0	36.0	48.0	8.0	11.0	3.0	28.0	837175.0	1414475.7095
129_S_1246.nii	6.0	26.0	36.0	44.0	8.0	63.0	123.0	88.0	23.0	110.0	55.0	66.0	38.0	87.0	10.0	16.0	19.0	18.0	24.0	27.0	51.0	22.0	60.0	60.0	13.0	134.0	116.0	79.0	50.0	50.0	12.0	10.0	6.0	34.0	1067087.0	1491774.24723
016_S_1149.nii	11.0	17.0	38.0	34.0	5.0	64.0	98.0	79.0	23.0	103.0	54.0	53.0	59.0	87.0	10.0	23.0	23.0	18.0	32.0	31.0	76.0	20.0	79.0	76.0	12.0	128.0	131.0	117.0	61.0	79.0	10.0	12.0	5.0	27.0	1148171.0	1777284.43727
098_S_0884.nii	4.0	21.0	18.0	23.0	8.0	54.0	64.0	59.0	19.0	74.0	41.0	56.0	41.0	51.0	7.0	15.0	16.0	18.0	21.0	17.0	41.0	18.0	48.0	49.0	6.0	91.0	91.0	70.0	35.0	34.0	11.0	8.0	4.0	41.0	951001.0	1472681.91065
021_S_1109.nii	5.0	20.0	24.0	32.0	5.0	52.0	74.0	65.0	26.0	95.0	65.0	92.0	47.0	53.0	8.0	22.0	21.0	18.0	28.0	29.0	43.0	37.0	51.0	55.0	17.0	111.0	124.0	101.0	41.0	57.0	10.0	11.0	4.0	31.0	867372.0	1297219.27822
068_S_1075.nii	15.0	24.0	34.0	45.0	7.0	75.0	96.0	89.0	21.0	128.0	72.0	101.0	65.0	88.0	11.0	29.0	29.0	23.0	36.0	52.0	75.0	34.0	60.0	87.0	18.0	143.0	126.0	89.0	64.0	66.0	11.0	16.0	6.0	44.0	1225094.0	1859711.8005
067_S_0290.nii	8.0	19.0	36.0	42.0	7.0	62.0	84.0	50.0	21.0	110.0	61.0	77.0	59.0	59.0	8.0	29.0	23.0	16.0	25.0	29.0	57.0	23.0	70.0	63.0	17.0	109.0	156.0	68.0	61.0	59.0	8.0	9.0	5.0	64.0	1122731.0	1785872.47952
006_S_0547.nii	15.0	25.0	38.0	40.0	7.0	73.0	85.0	84.0	25.0	114.0	57.0	57.0	51.0	65.0	8.0	25.0	22.0	22.0	32.0	36.0	47.0	24.0	60.0	63.0	14.0	96.0	125.0	84.0	65.0	71.0	8.0	12.0	6.0	59.0	1062398.0	1559763.90708
131_S_0319.nii	8.0	19.0	27.0	27.0	5.0	42.0	81.0	51.0	18.0	87.0	50.0	64.0	38.0	58.0	7.0	13.0	13.0	20.0	19.0	25.0	42.0	23.0	60.0	57.0	16.0	104.0	120.0	70.0	42.0	50.0	6.0	7.0	4.0	35.0	993395.0	1402023.61925
033_S_1308.nii	8.0	34.0	41.0	44.0	6.0	61.0	96.0	57.0	29.0	105.0	62.0	86.0	54.0	69.0	8.0	20.0	18.0	19.0	26.0	30.0	56.0	36.0	67.0	79.0	18.0	135.0	118.0	90.0	58.0	68.0	6.0	13.0	4.0	46.0	1115323.0	1586664.86106
022_S_0750.nii	6.0	24.0	22.0	31.0	4.0	45.0	64.0	41.0	22.0	82.0	48.0	49.0	35.0	41.0	7.0	15.0	20.0	14.0	18.0	19.0	38.0	24.0	50.0	43.0	17.0	90.0	74.0	70.0	33.0	48.0	10.0	8.0	3.0	22.0	817051.0	1363160.92293
128_S_0258.nii	10.0	20.0	25.0	35.0	4.0	48.0	75.0	66.0	24.0	83.0	59.0	71.0	55.0	74.0	5.0	24.0	25.0	14.0	29.0	30.0	57.0	27.0	53.0	63.0	24.0	136.0	103.0	71.0	49.0	70.0	12.0	11.0	7.0	36.0	1083354.0	1621041.97252
013_S_0592.nii	6.0	20.0	24.0	36.0	5.0	49.0	92.0	52.0	20.0	103.0	42.0	73.0	40.0	51.0	6.0	16.0	14.0	17.0	15.0	29.0	56.0	29.0	60.0	54.0	12.0	86.0	83.0	82.0	36.0	52.0	8.0	9.0	4.0	63.0	996445.0	1658532.8739
018_S_0103.nii	12.0	33.0	32.0	39.0	7.0	63.0	103.0	79.0	10.0	113.0	67.0	71.0	56.0	69.0	7.0	23.0	21.0	20.0	21.0	39.0	51.0	23.0	74.0	73.0	14.0	126.0	147.0	83.0	52.0	57.0	12.0	12.0	6.0	38.0	1080520.0	1872059.43253
023_S_0963.nii	9.0	22.0	29.0	37.0	10.0	55.0	80.0	82.0	32.0	100.0	58.0	72.0	40.0	74.0	6.0	24.0	24.0	22.0	17.0	28.0	55.0	27.0	55.0	72.0	17.0	124.0	106.0	96.0	51.0	55.0	13.0	7.0	5.0	51.0	1055891.0	1563791.16343
033_S_1281.nii	7.0	14.0	26.0	28.0	6.0	50.0	82.0	46.0	17.0	68.0	111.0	52.0	41.0	42.0	5.0	15.0	16.0	16.0	22.0	32.0	41.0	19.0	49.0	46.0	11.0	85.0	99.0	75.0	34.0	48.0	12.0	11.0	3.0	21.0	914134.0	1406605.97472
131_S_0409.nii	9.0	29.0	28.0	40.0	10.0	69.0	95.0	64.0	21.0	121.0	64.0	86.0	45.0	74.0	7.0	17.0	22.0	20.0	27.0	36.0	55.0	26.0	65.0	88.0	32.0	108.0	109.0	99.0	63.0	55.0	11.0	19.0	3.0	26.0	1109191.0	1812034.21092
099_S_1144.nii	7.0	20.0	35.0	23.0	8.0	56.0	80.0	70.0	19.0	112.0	59.0	61.0	40.0	63.0	7.0	17.0	29.0	18.0	29.0	18.0	55.0	20.0	66.0	55.0	17.0	103.0	93.0	78.0	49.0	70.0	12.0	10.0	5.0	50.0	1045929.0	1616991.59672
031_S_0618.nii	7.0	14.0	33.0	27.0	7.0	67.0	99.0	68.0	15.0	122.0	50.0	51.0	40.0	55.0	8.0	17.0	20.0	16.0	27.0	22.0	50.0	25.0	56.0	72.0	19.0	122.0	107.0	91.0	43.0	65.0	10.0	8.0	5.0	34.0	1038270.0	1404416.17631
012_S_1321.nii	11.0	19.0	27.0	30.0	10.0	53.0	95.0	67.0	22.0	104.0	52.0	63.0	41.0	77.0	9.0	17.0	22.0	22.0	17.0	20.0	79.0	25.0	89.0	56.0	16.0	136.0	127.0	71.0	59.0	60.0	12.0	8.0	9.0	29.0	1089625.0	1698401.5653
036_S_0759.nii	7.0	17.0	61.0	32.0	5.0	49.0	86.0	53.0	22.0	84.0	43.0	60.0	48.0	55.0	5.0	14.0	19.0	17.0	22.0	22.0	46.0	23.0	53.0	49.0	6.0	87.0	96.0	70.0	39.0	55.0	12.0	8.0	4.0	21.0	893158.0	1454268.52793
021_S_0984.nii	9.0	15.0	33.0	38.0	7.0	69.0	120.0	85.0	27.0	117.0	55.0	83.0	54.0	75.0	9.0	23.0	24.0	26.0	23.0	24.0	77.0	28.0	64.0	79.0	23.0	150.0	161.0	93.0	71.0	73.0	12.0	33.0	5.0	45.0	1182958.0	1879723.7905
020_S_0883.nii	8.0	18.0	35.0	38.0	4.0	65.0	76.0	67.0	30.0	97.0	50.0	79.0	40.0	60.0	13.0	12.0	21.0	14.0	20.0	32.0	53.0	28.0	63.0	69.0	19.0	88.0	99.0	93.0	51.0	72.0	10.0	8.0	4.0	44.0	1066181.0	1630048.13135
073_S_0311.nii	4.0	13.0	25.0	24.0	6.0	52.0	69.0	47.0	23.0	84.0	56.0	53.0	32.0	59.0	8.0	20.0	23.0	20.0	29.0	19.0	41.0	13.0	62.0	52.0	14.0	84.0	116.0	76.0	40.0	60.0	8.0	9.0	5.0	39.0	849453.0	1349024.46696
024_S_1307.nii	7.0	26.0	33.0	31.0	7.0	61.0	91.0	58.0	26.0	108.0	60.0	74.0	45.0	49.0	6.0	17.0	16.0	18.0	23.0	30.0	44.0	31.0	64.0	53.0	26.0	100.0	315.0	73.0	35.0	90.0	11.0	20.0	5.0	27.0	1056895.0	1568347.99928
027_S_0116.nii	12.0	23.0	27.0	39.0	8.0	66.0	90.0	73.0	19.0	110.0	45.0	57.0	59.0	67.0	10.0	17.0	23.0	15.0	34.0	27.0	50.0	36.0	54.0	60.0	6.0	168.0	136.0	89.0	47.0	56.0	8.0	9.0	6.0	45.0	943601.0	1380429.0707
031_S_0321.nii	8.0	28.0	30.0	32.0	7.0	53.0	94.0	59.0	23.0	103.0	58.0	74.0	46.0	60.0	6.0	14.0	22.0	21.0	25.0	27.0	44.0	25.0	50.0	60.0	8.0	114.0	97.0	70.0	39.0	58.0	13.0	12.0	6.0	35.0	922601.0	1434457.22469
013_S_1275.nii	7.0	17.0	27.0	28.0	7.0	54.0	87.0	58.0	14.0	89.0	52.0	62.0	37.0	56.0	8.0	25.0	17.0	14.0	20.0	23.0	52.0	28.0	69.0	58.0	17.0	106.0	116.0	70.0	47.0	52.0	9.0	14.0	4.0	22.0	984179.0	1557637.03746
013_S_1120.nii	8.0	15.0	26.0	29.0	8.0	43.0	69.0	57.0	19.0	75.0	43.0	53.0	39.0	57.0	8.0	13.0	13.0	15.0	17.0	21.0	40.0	23.0	42.0	71.0	11.0	90.0	103.0	65.0	38.0	47.0	13.0	11.0	3.0	21.0	840664.0	1464251.11593
037_S_0377.nii	10.0	25.0	33.0	43.0	8.0	53.0	100.0	65.0	24.0	123.0	59.0	71.0	46.0	60.0	11.0	21.0	20.0	15.0	26.0	32.0	59.0	37.0	70.0	60.0	18.0	116.0	110.0	81.0	51.0	79.0	8.0	9.0	8.0	37.0	1147769.0	1700538.65398
009_S_1030a.nii	9.0	19.0	38.0	40.0	5.0	61.0	90.0	93.0	21.0	97.0	73.0	83.0	57.0	69.0	5.0	28.0	17.0	22.0	24.0	32.0	55.0	22.0	84.0	75.0	18.0	115.0	164.0	90.0	58.0	60.0	13.0	14.0	4.0	34.0	1212505.0	1818048.85672
014_S_0520.nii	11.0	16.0	42.0	36.0	9.0	57.0	83.0	64.0	19.0	98.0	51.0	64.0	48.0	70.0	9.0	17.0	26.0	17.0	26.0	35.0	63.0	30.0	68.0	78.0	19.0	132.0	135.0	84.0	54.0	57.0	8.0	12.0	4.0	53.0	1123420.0	1554260.36416
032_S_1169.nii	5.0	25.0	31.0	28.0	7.0	42.0	71.0	74.0	17.0	107.0	59.0	59.0	40.0	59.0	7.0	12.0	20.0	15.0	25.0	17.0	52.0	31.0	54.0	50.0	14.0	103.0	121.0	75.0	48.0	39.0	13.0	7.0	6.0	47.0	987206.0	1547743.48595
133_S_1170.nii	6.0	22.0	27.0	30.0	8.0	53.0	92.0	53.0	19.0	92.0	55.0	56.0	54.0	52.0	6.0	14.0	21.0	18.0	35.0	20.0	43.0	27.0	51.0	61.0	16.0	102.0	102.0	55.0	53.0	55.0	11.0	8.0	6.0	42.0	943000.0	1429353.53372
128_S_1409.nii	7.0	15.0	29.0	32.0	7.0	58.0	63.0	58.0	22.0	95.0	53.0	53.0	43.0	49.0	6.0	18.0	19.0	21.0	27.0	32.0	41.0	35.0	58.0	51.0	15.0	88.0	98.0	74.0	44.0	49.0	7.0	7.0	2.0	28.0	1144015.0	1815683.6829
136_S_0107.nii	5.0	21.0	17.0	31.0	6.0	62.0	80.0	48.0	22.0	89.0	50.0	66.0	40.0	56.0	7.0	20.0	23.0	18.0	25.0	31.0	42.0	25.0	52.0	64.0	15.0	93.0	78.0	83.0	45.0	58.0	8.0	11.0	4.0	38.0	1048724.0	1481549.42433
073_S_0312.nii	9.0	32.0	27.0	37.0	7.0	70.0	79.0	68.0	23.0	114.0	51.0	78.0	44.0	66.0	8.0	15.0	15.0	17.0	22.0	34.0	58.0	25.0	70.0	72.0	17.0	117.0	104.0	91.0	37.0	55.0	7.0	11.0	4.0	61.0	1087482.0	1718698.14546
126_S_0708.nii	9.0	30.0	35.0	39.0	9.0	68.0	85.0	65.0	20.0	103.0	60.0	79.0	46.0	62.0	8.0	19.0	19.0	20.0	23.0	27.0	72.0	23.0	61.0	74.0	26.0	150.0	105.0	86.0	65.0	64.0	10.0	15.0	4.0	53.0	1217676.0	1791345.18748
099_S_0090.nii	5.0	12.0	20.0	32.0	5.0	47.0	76.0	57.0	17.0	104.0	66.0	58.0	38.0	55.0	5.0	19.0	14.0	17.0	26.0	27.0	49.0	17.0	50.0	51.0	5.0	93.0	98.0	65.0	40.0	55.0	9.0	9.0	3.0	30.0	1038137.0	1570842.09434
052_S_0951.nii	9.0	26.0	40.0	33.0	8.0	66.0	81.0	67.0	24.0	110.0	42.0	70.0	48.0	51.0	7.0	17.0	20.0	19.0	27.0	32.0	55.0	22.0	71.0	65.0	21.0	120.0	133.0	76.0	55.0	62.0	13.0	10.0	6.0	61.0	1058718.0	1651504.62761
031_S_1209.nii	12.0	23.0	25.0	38.0	6.0	63.0	93.0	67.0	21.0	108.0	56.0	55.0	42.0	69.0	7.0	24.0	21.0	18.0	30.0	29.0	63.0	32.0	51.0	62.0	25.0	129.0	113.0	90.0	55.0	107.0	9.0	12.0	6.0	37.0	1169982.0	1750882.95501
012_S_0917.nii	9.0	18.0	24.0	35.0	4.0	62.0	78.0	40.0	26.0	119.0	53.0	64.0	36.0	47.0	8.0	14.0	15.0	15.0	26.0	36.0	42.0	29.0	56.0	63.0	15.0	107.0	103.0	66.0	55.0	57.0	7.0	8.0	3.0	37.0	1040848.0	1450859.8344
006_S_0653.nii	10.0	14.0	21.0	29.0	4.0	53.0	75.0	48.0	19.0	82.0	45.0	55.0	44.0	46.0	5.0	19.0	14.0	14.0	17.0	18.0	40.0	26.0	49.0	41.0	10.0	81.0	83.0	83.0	36.0	47.0	8.0	8.0	4.0	51.0	917732.0	1430623.35601
082_S_1119.nii	7.0	20.0	29.0	27.0	11.0	57.0	91.0	56.0	19.0	88.0	48.0	52.0	38.0	63.0	6.0	20.0	17.0	14.0	21.0	20.0	50.0	25.0	55.0	60.0	20.0	109.0	108.0	83.0	44.0	59.0	10.0	11.0	5.0	36.0	920254.0	1521413.03834
131_S_0457.nii	7.0	10.0	25.0	38.0	8.0	46.0	60.0	49.0	14.0	95.0	53.0	53.0	39.0	45.0	4.0	14.0	13.0	16.0	24.0	37.0	50.0	14.0	59.0	56.0	8.0	99.0	98.0	79.0	40.0	48.0	9.0	9.0	4.0	48.0	791387.0	1217282.17641
136_S_0429.nii	6.0	14.0	24.0	30.0	8.0	66.0	82.0	66.0	25.0	95.0	64.0	58.0	56.0	56.0	5.0	14.0	20.0	21.0	34.0	21.0	39.0	30.0	55.0	69.0	20.0	132.0	105.0	76.0	45.0	54.0	11.0	8.0	6.0	34.0	1273107.0	1820265.89242
011_S_0005.nii	5.0	25.0	33.0	28.0	6.0	60.0	96.0	61.0	23.0	78.0	54.0	44.0	52.0	57.0	7.0	14.0	15.0	16.0	23.0	18.0	52.0	31.0	54.0	66.0	20.0	123.0	95.0	86.0	46.0	69.0	7.0	9.0	4.0	76.0	1160367.0	1690592.13784
023_S_0887.nii	7.0	30.0	31.0	34.0	6.0	49.0	73.0	52.0	16.0	95.0	43.0	56.0	29.0	60.0	7.0	20.0	26.0	18.0	26.0	15.0	49.0	34.0	58.0	56.0	21.0	105.0	135.0	94.0	52.0	61.0	8.0	24.0	5.0	37.0	1009860.0	1547332.85812
057_S_0957.nii	12.0	20.0	20.0	35.0	6.0	54.0	95.0	38.0	26.0	109.0	55.0	87.0	48.0	62.0	9.0	18.0	22.0	16.0	30.0	34.0	42.0	28.0	59.0	63.0	18.0	121.0	96.0	79.0	56.0	47.0	9.0	8.0	5.0	55.0	1105282.0	1676737.64611
033_S_0920.nii	3.0	19.0	22.0	26.0	3.0	49.0	67.0	48.0	17.0	75.0	52.0	56.0	42.0	41.0	5.0	16.0	14.0	18.0	18.0	22.0	43.0	26.0	53.0	51.0	13.0	94.0	86.0	65.0	31.0	45.0	9.0	9.0	3.0	27.0	947155.0	1443046.9353
002_S_1018.nii	7.0	18.0	25.0	34.0	4.0	53.0	78.0	59.0	14.0	97.0	57.0	72.0	34.0	51.0	6.0	17.0	20.0	15.0	23.0	34.0	48.0	29.0	74.0	58.0	17.0	115.0	114.0	76.0	38.0	51.0	7.0	9.0	6.0	38.0	1011970.0	1501766.12336
011_S_0241.nii	7.0	15.0	33.0	20.0	7.0	51.0	60.0	52.0	19.0	78.0	65.0	45.0	38.0	53.0	10.0	15.0	16.0	18.0	16.0	18.0	39.0	28.0	45.0	52.0	27.0	95.0	102.0	72.0	46.0	48.0	6.0	9.0	3.0	35.0	978540.0	1538856.22927
067_S_0038.nii	11.0	14.0	22.0	44.0	9.0	56.0	94.0	58.0	25.0	108.0	55.0	76.0	32.0	65.0	15.0	12.0	17.0	15.0	21.0	30.0	49.0	24.0	49.0	62.0	14.0	112.0	97.0	91.0	48.0	66.0	9.0	8.0	3.0	27.0	1019677.0	1543071.10054
126_S_0680.nii	14.0	19.0	28.0	32.0	5.0	56.0	90.0	54.0	17.0	83.0	49.0	46.0	37.0	55.0	6.0	12.0	17.0	12.0	20.0	21.0	57.0	27.0	51.0	56.0	20.0	82.0	79.0	80.0	40.0	47.0	8.0	7.0	3.0	30.0	955205.0	1427357.14342
137_S_1426.nii	12.0	23.0	42.0	37.0	5.0	46.0	87.0	77.0	14.0	83.0	50.0	64.0	65.0	57.0	7.0	18.0	22.0	14.0	21.0	30.0	65.0	20.0	71.0	57.0	7.0	130.0	135.0	94.0	55.0	59.0	6.0	11.0	7.0	43.0	1030599.0	1791341.84934
057_S_1007.nii	7.0	15.0	29.0	39.0	5.0	60.0	84.0	68.0	22.0	100.0	55.0	71.0	52.0	57.0	6.0	20.0	18.0	15.0	31.0	37.0	58.0	35.0	74.0	79.0	9.0	96.0	112.0	91.0	37.0	52.0	8.0	10.0	2.0	46.0	1171754.0	1743254.1898
141_S_0790.nii	7.0	30.0	30.0	37.0	5.0	61.0	86.0	67.0	21.0	119.0	55.0	69.0	49.0	54.0	7.0	18.0	15.0	13.0	27.0	27.0	50.0	34.0	61.0	67.0	14.0	103.0	138.0	98.0	46.0	55.0	15.0	10.0	5.0	30.0	883404.0	1379875.87427
013_S_1186.nii	8.0	16.0	32.0	32.0	6.0	65.0	87.0	77.0	26.0	99.0	72.0	67.0	44.0	66.0	6.0	17.0	23.0	21.0	32.0	22.0	52.0	24.0	57.0	58.0	25.0	112.0	136.0	93.0	65.0	55.0	12.0	11.0	3.0	30.0	1050260.0	1641728.74019
137_S_0366.nii	7.0	21.0	21.0	35.0	9.0	43.0	78.0	55.0	15.0	95.0	42.0	66.0	39.0	43.0	6.0	13.0	15.0	11.0	19.0	27.0	47.0	28.0	52.0	40.0	15.0	83.0	78.0	77.0	31.0	46.0	6.0	8.0	3.0	24.0	848924.0	1294378.61172
136_S_0086.nii	8.0	17.0	26.0	32.0	6.0	46.0	72.0	46.0	16.0	82.0	53.0	47.0	32.0	44.0	8.0	13.0	18.0	15.0	24.0	16.0	40.0	24.0	51.0	56.0	7.0	85.0	193.0	68.0	40.0	51.0	11.0	7.0	4.0	24.0	920339.0	1406325.62868
022_S_0004.nii	11.0	27.0	30.0	42.0	5.0	57.0	100.0	77.0	19.0	113.0	61.0	83.0	45.0	64.0	9.0	21.0	21.0	21.0	19.0	28.0	75.0	37.0	79.0	67.0	24.0	135.0	119.0	81.0	60.0	68.0	11.0	9.0	6.0	34.0	1164424.0	1702052.28427
009_S_0751.nii	10.0	13.0	25.0	31.0	6.0	49.0	80.0	61.0	23.0	96.0	43.0	67.0	38.0	77.0	5.0	14.0	14.0	16.0	15.0	22.0	48.0	16.0	61.0	67.0	15.0	107.0	102.0	77.0	48.0	58.0	9.0	9.0	3.0	41.0	1064638.0	1704581.29449
037_S_1225.nii	8.0	17.0	44.0	31.0	15.0	72.0	113.0	81.0	22.0	105.0	67.0	74.0	45.0	73.0	8.0	17.0	24.0	20.0	22.0	30.0	67.0	22.0	65.0	70.0	5.0	121.0	183.0	118.0	56.0	83.0	9.0	12.0	4.0	31.0	1010871.0	1557515.60089
023_S_1046.nii	15.0	22.0	44.0	41.0	11.0	62.0	125.0	68.0	25.0	122.0	62.0	56.0	37.0	71.0	7.0	24.0	22.0	21.0	29.0	40.0	59.0	32.0	71.0	80.0	14.0	125.0	169.0	100.0	57.0	74.0	9.0	12.0	4.0	45.0	1269315.0	2019474.86607
137_S_1414.nii	7.0	15.0	33.0	27.0	5.0	45.0	92.0	51.0	15.0	129.0	50.0	68.0	48.0	73.0	9.0	20.0	20.0	18.0	22.0	18.0	77.0	20.0	65.0	61.0	13.0	113.0	149.0	86.0	54.0	67.0	6.0	11.0	6.0	67.0	1081681.0	1607994.08678
041_S_1002.nii	8.0	25.0	45.0	43.0	9.0	58.0	126.0	93.0	18.0	98.0	60.0	80.0	51.0	96.0	6.0	26.0	20.0	20.0	25.0	37.0	61.0	41.0	68.0	79.0	24.0	120.0	137.0	94.0	72.0	68.0	14.0	8.0	4.0	46.0	1080960.0	1653606.90602
128_S_0205.nii	9.0	19.0	21.0	39.0	5.0	67.0	101.0	68.0	23.0	101.0	63.0	81.0	38.0	50.0	7.0	21.0	22.0	20.0	21.0	31.0	62.0	27.0	64.0	72.0	18.0	105.0	121.0	81.0	53.0	58.0	12.0	13.0	5.0	43.0	1147335.0	1649094.10526
023_S_0388.nii	9.0	18.0	41.0	39.0	9.0	65.0	104.0	63.0	22.0	92.0	62.0	73.0	42.0	61.0	6.0	31.0	15.0	17.0	22.0	29.0	71.0	26.0	93.0	61.0	18.0	123.0	138.0	85.0	47.0	76.0	10.0	10.0	5.0	21.0	1190449.0	1832860.67429
098_S_0269.nii	7.0	21.0	27.0	32.0	15.0	48.0	82.0	54.0	20.0	77.0	53.0	56.0	49.0	53.0	13.0	15.0	18.0	17.0	20.0	16.0	61.0	26.0	59.0	53.0	18.0	101.0	110.0	72.0	49.0	71.0	13.0	7.0	8.0	26.0	1061005.0	1612661.21423
002_S_1070.nii	7.0	14.0	30.0	46.0	4.0	66.0	83.0	62.0	22.0	116.0	57.0	87.0	44.0	68.0	6.0	25.0	19.0	22.0	17.0	34.0	51.0	30.0	66.0	60.0	23.0	118.0	108.0	75.0	44.0	58.0	10.0	12.0	5.0	49.0	1151525.0	1697096.01566
037_S_0303.nii	5.0	26.0	22.0	41.0	5.0	65.0	75.0	61.0	20.0	96.0	43.0	43.0	46.0	52.0	7.0	14.0	18.0	21.0	25.0	21.0	52.0	28.0	73.0	64.0	13.0	117.0	106.0	83.0	55.0	55.0	9.0	10.0	5.0	45.0	982546.0	1487323.277
130_S_0232.nii	9.0	29.0	37.0	33.0	6.0	50.0	100.0	81.0	24.0	106.0	57.0	83.0	48.0	79.0	8.0	20.0	24.0	22.0	22.0	26.0	61.0	31.0	79.0	73.0	22.0	137.0	130.0	86.0	63.0	54.0	13.0	12.0	6.0	44.0	1095776.0	1757966.98229
