rh.aparc.foldind	rh_bankssts_foldind	rh_caudalanteriorcingulate_foldind	rh_caudalmiddlefrontal_foldind	rh_cuneus_foldind	rh_entorhinal_foldind	rh_fusiform_foldind	rh_inferiorparietal_foldind	rh_inferiortemporal_foldind	rh_isthmuscingulate_foldind	rh_lateraloccipital_foldind	rh_lateralorbitofrontal_foldind	rh_lingual_foldind	rh_medialorbitofrontal_foldind	rh_middletemporal_foldind	rh_parahippocampal_foldind	rh_paracentral_foldind	rh_parsopercularis_foldind	rh_parsorbitalis_foldind	rh_parstriangularis_foldind	rh_pericalcarine_foldind	rh_postcentral_foldind	rh_posteriorcingulate_foldind	rh_precentral_foldind	rh_precuneus_foldind	rh_rostralanteriorcingulate_foldind	rh_rostralmiddlefrontal_foldind	rh_superiorfrontal_foldind	rh_superiorparietal_foldind	rh_superiortemporal_foldind	rh_supramarginal_foldind	rh_frontalpole_foldind	rh_temporalpole_foldind	rh_transversetemporal_foldind	rh_insula_foldind	BrainSegVolNotVent	eTIV
022_S_0066.nii	5.0	16.0	22.0	28.0	4.0	53.0	84.0	49.0	15.0	91.0	45.0	66.0	55.0	54.0	8.0	16.0	13.0	12.0	19.0	24.0	44.0	25.0	60.0	61.0	17.0	88.0	117.0	69.0	36.0	42.0	8.0	8.0	4.0	25.0	856902.0	1251375.19096
023_S_0083.nii	4.0	17.0	34.0	35.0	10.0	48.0	85.0	56.0	17.0	108.0	49.0	62.0	51.0	52.0	7.0	15.0	13.0	17.0	17.0	23.0	43.0	23.0	59.0	58.0	9.0	111.0	113.0	72.0	34.0	41.0	10.0	9.0	5.0	37.0	963222.0	1528812.38883
133_S_0433.nii	7.0	17.0	29.0	34.0	4.0	51.0	75.0	56.0	20.0	103.0	58.0	64.0	39.0	62.0	5.0	13.0	17.0	17.0	19.0	33.0	61.0	24.0	61.0	54.0	11.0	113.0	95.0	60.0	38.0	44.0	6.0	12.0	3.0	44.0	871419.0	1267916.55816
067_S_0019.nii	6.0	20.0	26.0	33.0	4.0	58.0	69.0	53.0	20.0	85.0	56.0	49.0	37.0	53.0	6.0	10.0	22.0	21.0	33.0	19.0	33.0	25.0	44.0	62.0	18.0	105.0	100.0	71.0	43.0	57.0	11.0	9.0	4.0	52.0	961174.0	1426781.15007
128_S_1430.nii	6.0	14.0	31.0	27.0	5.0	40.0	61.0	39.0	16.0	90.0	49.0	64.0	42.0	48.0	12.0	17.0	21.0	9.0	23.0	17.0	42.0	10.0	54.0	59.0	10.0	93.0	111.0	82.0	46.0	48.0	15.0	9.0	5.0	40.0	798570.0	1222630.36832
137_S_0722.nii	9.0	25.0	36.0	39.0	5.0	61.0	90.0	66.0	22.0	121.0	50.0	86.0	50.0	70.0	6.0	29.0	23.0	21.0	24.0	35.0	63.0	38.0	79.0	77.0	14.0	125.0	144.0	86.0	59.0	72.0	13.0	9.0	6.0	58.0	1246086.0	1912037.26103
099_S_0051.nii	5.0	28.0	19.0	35.0	7.0	57.0	97.0	57.0	15.0	107.0	53.0	78.0	44.0	70.0	7.0	26.0	23.0	20.0	25.0	28.0	64.0	24.0	73.0	79.0	21.0	112.0	103.0	102.0	44.0	54.0	9.0	11.0	8.0	40.0	1115677.0	1626104.92656
128_S_0230.nii	12.0	15.0	29.0	33.0	7.0	61.0	121.0	79.0	21.0	103.0	77.0	78.0	66.0	72.0	10.0	17.0	19.0	22.0	23.0	29.0	55.0	30.0	64.0	69.0	19.0	114.0	106.0	89.0	65.0	70.0	9.0	14.0	6.0	39.0	1115108.0	1715790.16417
041_S_1391.nii	10.0	23.0	37.0	47.0	7.0	57.0	103.0	69.0	26.0	110.0	66.0	70.0	47.0	63.0	6.0	19.0	14.0	19.0	21.0	18.0	50.0	27.0	50.0	75.0	14.0	132.0	130.0	82.0	54.0	52.0	8.0	9.0	4.0	53.0	1111297.0	1856574.73521
131_S_0691.nii	3.0	19.0	28.0	35.0	6.0	62.0	59.0	56.0	18.0	105.0	57.0	64.0	48.0	49.0	7.0	18.0	13.0	18.0	24.0	35.0	80.0	10.0	63.0	52.0	16.0	120.0	103.0	72.0	47.0	61.0	8.0	10.0	4.0	25.0	938807.0	1525398.48989
